Thuis\Uit,Genk,Club Brugge,Union,Anderlecht,Gent,Antwerp,
Genk,/,,1-2,,4-0,,bv. 2-1
Club Brugge,1-0,/,,2-0,,,
Union,,,/,2-0,,5-1,
Anderlecht,1-2,,,/,,0-0,
Gent,,0-5,0-3,,/,,
Antwerp,,2-3,,,0-1,/,
,,,,,,,
Bekerfinale,Anderlecht,,,,,,
Club Brugge,,,,,,,
,,,,,,,
Bekerwinnaar,,(ploeg),,,,,
Beste ploeg van POI,,(ploeg),,,,,
Topscorer POI,,(speler),,,,,
Assistenkoning POI,,(speler),,,,,
Meeste Clean Sheats POI,,(keeper),,,,,
Meeste gemaakte goals POI,,(ploeg),,,,,
Minste goals tegen POI,,(ploeg),,,,,
Kampioen,,(ploeg),,,,,